id,Peptides,Unique peptides,Sequence coverage [%],Mol. weight [kDa],Q-value,Score,Intensity,MS/MS count,Protein ID,Log2 enrichment,Log10,T-test Significant,Test statistic,Sample_1_Control,Sample_2_Control,Sample_3_Control,Patient_1,Patient_2,Patient_3
2020,10,10,71.6,21.09,0,323.31,1041600000,64,558,6.04447,2.46541,+,8.49591,20.8701,21.3461,26.2091,28.0566,27.1921,27.1921
2050,9,9,59,22.151,0,244.52,1158100000,80,134,6.02714,2.45502,+,8.42619,21.1044,19.8269,25.6903,27.067,26.721,26.721
862,29,29,57.3,70.755,0,323.31,2291300000,184,308,5.90431,2.38928,+,7.99729,21.9626,20.5985,26.364,27.6979,27.4927,27.4927
1751,5,5,58.8,9.638,0,76.859,894650000,40,606,5.88952,2.57419,+,9.25921,20.2609,20.9099,25.6514,27.2247,26.5487,26.5487
1947,9,9,66.3,21.764,0,257.7,875510000,68,888,5.72015,1.63824,+,4.3097,22.6515,19.4342,25.8895,27.3043,27.0952,27.0952
1774,7,7,64.2,21.178,0,323.31,878830000,37,604,5.68571,2.61658,+,9.57375,21.5757,21.17,26.3209,27.8582,26.9965,26.9965
595,24,24,44.5,73.197,0,139.5,1235800000,97,1040,5.24986,2.41038,+,8.13272,21.4439,20.3142,25.3958,26.6626,26.3283,26.3283
1748,35,35,45.2,109.56,0,323.31,1067000000,107,177,4.87458,1.81639,+,5.01556,21.9346,19.9501,24.8455,26.3916,26.2136,26.2136
2035,14,14,82.8,21.819,0,105.75,6429400000,94,718,4.71942,2.41266,+,8.14748,21.0343,20.8481,24.7956,26.2776,25.9088,25.9088
577,6,6,40.2,23.98,0,43.335,525660000,52,951,4.13245,2.66807,+,9.96955,21.5331,20.5253,24.9071,25.2066,25.3713,25.3713
1217,8,8,39,29.804,0,97.107,672360000,58,356,3.81612,4.17934,+,32.1441,21.8141,22.0949,25.7061,25.8532,25.7526,25.7526
248,9,9,49.4,27.958,0,126.1,395570000,45,34,3.64801,1.69992,+,4.54437,21.3778,19.6744,23.4209,24.6455,24.456,24.456
1318,4,4,51.6,13.802,0,6.3844,229180000,12,8,3.53099,2.18678,+,6.79946,21.0899,20.1386,24.6733,23.6575,24.1049,24.1049
2102,9,9,30.3,47.534,0,112.97,80565000,14,439,3.49392,1.16585,,2.79285,21.5204,19.4788,23.2924,23.1582,25.53,25.53
1760,6,6,47.7,22.745,0,30.632,307780000,25,551,3.49057,2.31151,+,7.51607,21.5345,20.3436,24.2187,24.5174,24.5527,24.5527
116,5,5,31.4,21.525,0,58.866,470410000,24,488,3.44239,1.03757,,2.4496,23.4364,20.0494,25.8989,24.2764,25.3807,25.3807
307,10,10,27.6,68.064,0,22.94,192610000,26,711,3.23994,1.54926,+,3.98787,21.7024,19.5703,23.8496,24.1157,23.6635,23.6635
544,11,11,47.9,29.723,0,34.702,660300000,60,116,3.20355,3.40116,+,17.6418,22.1246,22.5834,25.6261,25.58,25.4665,25.4665
1121,5,5,47.3,16.762,0,11.483,127610000,25,670,3.0828,1.1551,,2.76314,21.6456,18.7662,23.7601,23.0876,23.0184,23.0184
2144,5,5,36.4,28.772,0,82.846,83745000,19,299,2.94952,1.67906,+,4.46392,20.4672,19.4111,23.2266,22.0706,23.3689,23.3689
2064,6,6,30.4,37.489,0,118.51,151440000,25,564,2.89729,1.32185,+,3.24528,21.5161,20.1716,24.5067,22.6214,24.0954,24.0954
448,9,9,47.3,21.529,0,91.048,297120000,34,235,2.79874,0.911762,,2.13415,22.3014,19.3747,22.522,24.3425,24.0459,24.0459
100,3,3,47.4,11.15,0,5.4959,389210000,12,363,2.79187,0.986739,,2.31983,20.9775,23.7154,25.9384,24.2354,25.2412,25.2412
279,4,4,25.7,22.793,0,4.7445,104130000,13,570,2.77389,1.24317,,3.01188,21.6183,19.2293,23.4903,22.8623,23.2403,23.2403
1525,10,10,33.3,57.293,0,42.588,145900000,36,702,2.77373,1.43093,+,3.58805,20.1277,21.7125,24.0866,22.9211,24.0737,24.0737
1072,8,8,41.7,35.079,0,62.738,301650000,35,829,2.69348,1.33742,+,3.2928,21.1235,22.8087,25.3323,23.9295,24.7169,24.7169
1239,10,10,31.5,37.434,0,40.659,202000000,37,969,2.68581,1.18333,,2.8415,20.3612,22.4509,24.7604,23.3318,24.1834,24.1834
1003,13,13,32,62.168,0,75.197,263630000,37,386,2.64052,1.69247,+,4.5155,21.4149,22.6605,25.1422,24.189,24.7036,24.7036
981,22,22,71.1,56.559,0,323.31,3225800000,216,919,2.62688,1.79219,+,4.91449,25.8543,24.9759,28.6189,27.4857,28.0213,28.0213
1791,12,12,39.5,39.799,0,80.9,390200000,50,726,2.61662,1.74988,+,4.74185,21.3635,21.6115,23.2673,24.609,24.4362,24.4362
1291,6,6,41.3,23.277,0,18.284,136640000,34,588,2.61424,1.86781,+,5.23601,21.1252,20.3049,23.9396,22.9908,23.0574,23.0574
1929,4,4,25.9,41.35,0,22.403,64152000,18,59,2.5613,1.52003,+,3.88622,20.7226,19.5902,23.4408,22.0932,22.6191,22.6191
429,5,4,42.5,15.404,0,6.7845,124940000,12,905,2.53121,1.13667,,2.71264,21.7037,19.8486,24.2727,22.7355,22.9139,22.9139
1081,4,4,58.1,10.192,0,23.601,112820000,25,182,2.52494,2.05359,+,6.10286,20.9103,20.2503,23.5826,22.6983,23.0349,23.0349
1908,5,5,19,46.971,0,26.733,86857000,10,253,2.52125,2.68068,+,10.0689,20.358,20.0897,23.0141,22.4091,22.8121,22.8121
829,8,8,48.4,32.251,0,69.256,210190000,34,398,2.49588,1.25182,,3.03703,20.9943,22.1603,24.782,23.0124,24.4252,24.4252
1311,17,17,27.5,106.81,0,161.22,424340000,81,229,2.48939,1.16279,,2.78438,21.9089,23.4296,25.7824,24.0925,25.601,25.601
1383,5,5,75.4,12.895,0,59.194,182340000,26,554,2.45743,1.08234,,2.56671,20.8181,21.9986,24.6953,22.5647,24.3374,24.3374
1349,3,3,16.9,41.268,0,21.621,76758000,14,281,2.44845,1.20226,,2.89477,21.6286,19.6266,23.3896,22.4589,23.3798,23.3798
974,12,6,37.9,32.852,0,36.583,1369100000,82,820,2.43809,2.9375,+,12.3098,24.3821,23.9273,26.6832,26.4346,26.6606,26.6606
709,3,3,41.3,11.012,0,89.939,171620000,19,701,2.4276,1.32663,+,3.25982,20.9385,21.8735,24.4908,22.8299,24.1802,24.1802
634,25,25,31,125.54,0,323.31,551800000,91,603,2.41183,1.26594,,3.07831,21.8738,23.803,25.4639,24.769,25.5179,25.5179
1232,4,4,14.5,32.881,0,9.0516,129300000,17,891,2.38015,1.53103,+,3.92423,21.5172,20.413,24.0274,22.913,23.0953,23.0953
